ORF	SGD	GENENAME	logFC	unshrunk.logFC	logCPM	PValue	FDR
YMR105C	S000004711	PGM2	-6.84	-6.84	9.76	8.66e-21	2.05e-17
YML100W	S000004566	TSL1	-7.12	-7.12	9.87	1.24e-18	1.47e-15
YKL035W	S000001518	UGP1	-3.84	-3.84	10.8	3.02e-18	2.39e-15
YMR196W	S000004809	NA	-5.15	-5.15	8.42	2.8e-17	1.34e-14
YDR516C	S000002924	EMI2	-4	-4	9.14	2.82e-17	1.34e-14
YPR149W	S000006353	NCE102	-4.24	-4.24	7.94	4.47e-17	1.77e-14
YBR126C	S000000330	TPS1	-3.45	-3.45	9.86	1.36e-16	4.61e-14
YLR258W	S000004248	GSY2	-4.86	-4.86	8.3	3.62e-16	1.07e-13
YFR053C	S000001949	HXK1	-7.65	-7.65	9.1	9.9e-16	2.61e-13
YHL021C	S000001013	AIM17	-4.2	-4.2	6.93	1.26e-15	2.98e-13
YER053C	S000000855	PIC2	-4.98	-4.98	7.42	2.18e-15	4.7e-13
YDR001C	S000002408	NTH1	-2.88	-2.88	7.12	4.07e-15	8.04e-13
YPL004C	S000005925	LSP1	-2.77	-2.77	8.78	9.34e-15	1.7e-12
YGR088W	S000003320	CTT1	-6.13	-6.13	6.55	1.05e-14	1.77e-12
YGR008C	S000003240	STF2	-5.21	-5.2	7.05	1.29e-14	2.04e-12
YKL150W	S000001633	MCR1	-2.93	-2.93	8.54	1.39e-14	2.06e-12
YMR250W	S000004862	GAD1	-4.56	-4.56	6.55	1.53e-14	2.14e-12
YDR258C	S000002666	HSP78	-4.49	-4.49	6.39	4.76e-14	6.27e-12
YLR177W	S000004167	NA	-3.55	-3.55	5.64	3.12e-13	3.89e-11
YHR104W	S000001146	GRE3	-2.42	-2.42	8.5	3.56e-13	4.14e-11
YBR072W	S000000276	HSP26	-5.01	-5.01	7.35	3.67e-13	4.14e-11
YEL011W	S000000737	GLC3	-4.46	-4.47	6.32	1.42e-12	1.53e-10
YBR085C-A	S000007522	NA	-2.85	-2.85	5.74	2.34e-12	2.41e-10
YHR087W	S000001129	RTC3	-7.66	-7.67	6.48	4.28e-12	4.23e-10
YDR074W	S000002481	TPS2	-2.33	-2.33	8.59	8.07e-12	7.66e-10
YGR248W	S000003480	SOL4	-6.9	-6.92	4.77	1.89e-11	1.72e-9
YFR015C	S000001911	GSY1	-6	-6	7.2	2.87e-11	2.52e-9
YER067W	S000000869	RGI1	-6.46	-6.46	8.93	3.22e-11	2.73e-9
YBL064C	S000000160	PRX1	-2.32	-2.32	6.49	3.6e-11	2.95e-9
YDR033W	S000002440	MRH1	-2.6	-2.6	7.41	4.17e-11	3.3e-9
YML054C	S000004518	CYB2	-2.8	-2.8	5.9	5.4e-11	4.13e-9
YMR169C	S000004779	ALD3	-4.02	-4.02	5.17	1.07e-10	7.71e-9
YDR342C	S000002750	HXT7	-5.87	-5.87	7.49	1.07e-10	7.71e-9
YPR160W	S000006364	GPH1	-6.97	-6.97	7.01	1.3100000000000001e-10	9.15e-9
YMR090W	S000004696	NA	-3.3	-3.3	5.94	2.17e-10	1.47e-8
YML128C	S000004597	MSC1	-2.39	-2.39	5.56	4.52e-10	2.98e-8
YEL039C	S000000765	CYC7	-5.25	-5.25	4.67	4.69e-10	3e-8
YDL124W	S000002282	NA	-2.85	-2.85	7.12	4.83e-10	3.01e-8
YGL037C	S000003005	PNC1	-2.26	-2.26	8.8	6.8e-10	4.14e-8
YBR183W	S000000387	YPC1	-4.19	-4.19	4.35	8.72e-10	5.06e-8
YMR031C	S000004633	EIS1	-2.7	-2.7	5.77	8.75e-10	5.06e-8
YLR178C	S000004168	TFS1	-2.81	-2.81	5.44	1.08e-9	6.12e-8
YBR169C	S000000373	SSE2	-2.68	-2.68	6.31	2.06e-9	1.14e-7
YMR261C	S000004874	TPS3	-1.74	-1.74	7.83	2.91e-9	1.57e-7
YKL151C	S000001634	NNR2	-2.24	-2.24	7.51	3.07e-9	1.62e-7
YFL051C	S000001843	NA	2.95	2.96	5.72	3.4e-9	1.75e-7
YFL014W	S000001880	HSP12	-7.64	-7.64	7.01	3.98e-9	2.01e-7
YNL007C	S000004952	SIS1	-2.3	-2.3	7.29	4.33e-9	2.14e-7
YNL160W	S000005104	YGP1	-2.67	-2.67	6.32	5.31e-9	2.57e-7
YPL240C	S000006161	HSP82	-2.38	-2.38	8.77	5.74e-9	2.72e-7
